id_natureza_juridica;cd_natureza_juridica;de_natureza_juridica;de_classif_natureza_juridica
10013;2135;EMPRESARIO INDIVIDUAL;PRIVADO
12186;3077;SERVICO SOCIAL AUTONOMO;PRIVADO
12008;3131;ENTIDADE SINDICAL;PRIVADO
10057;4120;PRODUTOR RURAL PESSOA FISICA;PRIVADO
11488;2151;CONSORCIO DE SOCIEDADES;PRIVADO
10060;3220;ORGANIZACAO RELIGIOSA;PRIVADO
11866;1201;FUNDO PUBLICO;PUBLICO
12224;1015;ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;PUBLICO
10074;4090;CANDIDATO A CARGO POLITICO ELETIVO;PRIVADO
10069;2232;SOCIEDADE SIMPLES PURA;PRIVADO
14533;1031;ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;PUBLICO
10035;3999;ASSOCIACAO PRIVADA;PRIVADO
10031;2046;SOCIEDADE ANONIMA ABERTA;PRIVADO
10015;2062;SOCIEDADE EMPRESARIA LIMITADA;PRIVADO
13891;1244;MUNICIPIO;PUBLICO
12239;2070;SOCIEDADE EMPRESARIA EM NOME COLETIVO;PRIVADO
14710;1104;AUTARQUIA FEDERAL;PUBLICO
13538;5029;REPRESENTACAO DIPLOMATICA ESTRANGEIRA;PRIVADO
11323;3069;FUNDACAO PRIVADA;PRIVADO
14895;1066;ORGAO PUBLICO DO PODER LEGISLATIVO MUNICIPAL;PUBLICO
10537;2143;COOPERATIVA;PRIVADO
10053;2240;SOCIEDADE SIMPLES LIMITADA;PRIVADO
15231;2283;CONSORCIO DE EMPREGADORES;PRIVADO
10051;2313;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA SIMPLES;PRIVADO
10184;2224;CLUBE FUNDO DE INVESTIMENTO;PRIVADO
10148;3085;CONDOMINIO EDILICIO;PRIVADO
10104;2038;SOCIEDADE DE ECONOMIA MISTA;MISTA
15661;1120;AUTARQUIA MUNICIPAL;PUBLICO
10139;3271;ORGAO DE DIRECAO LOCAL DE PARTIDO POLITICO;PUBLICO
10199;4014;EMPRESA INDIVIDUAL IMOBILIARIA;PRIVADO
10083;2305;EMPRESA INDIVIDUAL DE RESPONSABILIDADE LIMITADA DE NATUREZA EMPRESARIA;PRIVADO
11298;2011;EMPRESA PUBLICA;PUBLICO
10938;3263;ORGAO DE DIRECAO REGIONAL DE PARTIDO POLITICO;PUBLICO
10327;2054;SOCIEDADE ANONIMA FECHADA;PRIVADO
16141;2127;SOCIEDADE EM CONTA DE PARTICIPACAO;PRIVADO
17725;1147;FUNDACAO PUB DE DIREITO PUB EST OU DO DF;PUBLICO
10450;1023;ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;PUBLICO
10081;3034;SERVICO NOTARIAL E REGISTRAL CARTORIO;PRIVADO
